web-scraper-start-url,Name,Constellation,Right ascension,Declination,Apparent magnitude,Distance,Proper motion RA,Proper motion Dec,B-T magnitude,V-T magnitude,Proper names,HD,TYCHO-2 2000,USNO-A2.0,BSC,HIP
https://server6.sky-map.org/starview?object_type=1&object_id=263&object_name=HD+1,β Leo (Denebola),Leo,11h49m03.60s,+14Â°34'19.0",2.14,11.091 parsecs,,,,,,,,USNO-A2 0975-06813966,,
https://server6.sky-map.org/starview?object_type=1&object_id=264&object_name=HD+1,γ Cen (Muhlifain),Centaurus,12h41m31.00s,-48Â°57'35.0",2.17,39.984 parsecs,-193.6,-11.6,2.844,2.817,,,TYC 8240-2724-1,USNO-A2 0375-16431326,,HIP 61932
https://server6.sky-map.org/starview?object_type=1&object_id=265&object_name=HD+1,γ Cyg (Sadr),Cygnus,20h22m13.70s,+40Â°15'24.0",2.2,467.29 parsecs,2.9,-1,3.04,2.273,,,TYC 3156-2223-1,USNO-A2 1275-13864262,,HIP 100453
https://server6.sky-map.org/starview?object_type=1&object_id=266&object_name=HD+1,λ Vel (Alsuhail),Vela,09h07m59.80s,-43Â°25'57.0",2.21,175.747 parsecs,-23.4,14.4,4.412,2.379,,,TYC 7689-2617-1,USNO-A2 0450-08320498,,HIP 44816
https://server6.sky-map.org/starview?object_type=1&object_id=267&object_name=HD+1,α Cas (Schedar),Cassiopeia,00h40m30.50s,+56Â°32'14.0",2.23,70.077 parsecs,0,0,3.729,2.349,,,TYC 3663-2668-1,USNO-A2 1425-00949375,,HIP 3179
https://server6.sky-map.org/starview?object_type=1&object_id=268&object_name=HD+1,δ Ori (Mintaka),Orion,05h32m00.40s,-00Â°17'57.0",2.23,280.899 parsecs,,,,,,,,USNO-A2 0825-01561136,,
https://server6.sky-map.org/starview?object_type=1&object_id=269&object_name=HD+1,α CrB (Alphecca),Corona Borealis,15h34m41.30s,+26Â°42'53.0",2.23,22.91 parsecs,,,,,,,,USNO-A2 1125-07311292,,
https://server6.sky-map.org/starview?object_type=1&object_id=270&object_name=HD+1,γ Dra (Eltanin),Draco,17h56m36.40s,+51Â°29'20.0",2.23,45.249 parsecs,0,0,4.246,2.381,,,TYC 3523-1684-1,USNO-A2 1350-09423072,,HIP 87833
https://server6.sky-map.org/starview?object_type=1&object_id=271&object_name=HD+1,ζ Pup (Naos),Puppis,08h03m35.10s,-40Â°00'12.0",2.25,429.185 parsecs,,,,,,,,USNO-A2 0450-05739023,,
https://server6.sky-map.org/starview?object_type=1&object_id=272&object_name=HD+1,ι Car (Aspidiske),Carina,09h17m05.40s,-59Â°16'31.0",2.25,212.314 parsecs,0,0,2.465,2.238,,,TYC 8595-3312-1,USNO-A2 0300-06466570,,HIP 45556
https://server6.sky-map.org/starview?object_type=1&object_id=273&object_name=HD+1,γα And (Almach),Andromeda,02h03m54.00s,+42Â°19'47.0",2.26,108.814 parsecs,0,0,3.984,2.308,,,TYC 2837-2311-1,USNO-A2 1275-01234539,,HIP 9640
https://server6.sky-map.org/starview?object_type=1&object_id=274&object_name=HD+1,β Cas (Caph),Cassiopeia,00h09m10.70s,+59Â°08'59.0",2.27,16.697 parsecs,0,0,2.689,2.299,,,TYC 3664-1985-1,USNO-A2 1425-00225287,,HIP 746
https://server6.sky-map.org/starview?object_type=1&object_id=275&object_name=HD+1,ζ UMa (Mizar),Ursa Major,13h23m55.50s,+54Â°55'31.0",2.27,23.964 parsecs,,,,,,,,USNO-A2 1425-07950581,,
https://server6.sky-map.org/starview?object_type=1&object_id=276&object_name=HD+1,ε Sco (Larawag),Scorpius,16h50m09.80s,-34Â°17'36.0",2.29,20.06 parsecs,-613.1,-255.2,3.781,2.393,,,TYC 7367-804-1,USNO-A2 0525-24185278,,HIP 82396
https://server6.sky-map.org/starview?object_type=1&object_id=277&object_name=HD+1,ε Cen,Centaurus,13h39m53.20s,-53Â°27'59.0",2.3,115.207 parsecs,,,,,,,,USNO-A2 0300-19085650,,
https://server6.sky-map.org/starview?object_type=1&object_id=278&object_name=HD+1,α Lup (Kakkab),Lupus,14h41m55.80s,-47Â°23'18.0",2.3,168.067 parsecs,,,,,,,,USNO-A2 0375-21969242,,
