id,x,y,z,diameter,Right ascension,Declination,distance,Constellation,name
369,0.6493594803498236,-25.6167058101273,-14.542696163458476,0.1,18h05m48.50s,"-30Â°25'27.0""",29.464,Sagittarius,γβ Sgr (Nasl)
370,6.976574909979142,-23.77712743479468,6.115483829999369,0.1,19h05m24.60s,"+13Â°51'48.0""",25.523,Aquila,ζ Aql (Okab)
371,26.36638268074644,16.72347190962679,21.85203541138348,0.1,02h09m32.60s,"+34Â°59'14.0""",38.11,Triangulum,β Tri (Deltotum)
372,11.61531958716149,118.70217812624959,46.123794162798646,0.1,05h37m38.70s,"+21Â°08'33.0""",127.877,Taurus,ζ Tau (Tianguan)
373,-86.53676552293717,-3.825566367050335,-33.91211853894545,0.1,12h10m07.50s,"-22Â°37'11.0""",93.023,Corvus,ε Crv (Minkar)
374,-35.1379727958754,-12.602264884019787,-15.713618029891215,0.1,13h18m55.30s,"-23Â°10'18.0""",40.502,Hydra,γ Hya (Dhanab al Shuja)
375,61.216769699545196,89.84565298138652,119.84735746732642,0.1,03h42m55.50s,"+47Â°47'15.0""",161.812,Perseus,δ Per
376,-176.36017679145334,115.51496803663358,-450.63463065501617,0.1,09h47m06.10s,"-65Â°04'19.0""",497.512,Carina,υ Car (Vathorz Prior)
377,-31.343371256317177,6.996979788028246,31.557661148041284,0.1,11h09m39.80s,"+44Â°29'55.0""",45.025,Ursa Major,ψ UMa (Ta Tsun)
378,42.568470319439854,-26.104305785802087,-37.132392033160315,0.1,21h53m55.70s,"-37Â°21'54.0""",62.228,Grus,γ Gru (Aldhanab)
379,-7.90799542758488,88.98739380933402,-51.44777935285254,0.1,06h20m18.80s,"-30Â°03'48.0""",103.093,Canis Major,ζ CMa (Furud)
380,-198.01237443149998,701.8058759808561,-297.08840706891067,0.1,07h03m01.50s,"-23Â°50'00.0""",787.402,Canis Major,οβ CMa (Menkelb Posterior)
381,-16.144284985524976,-12.622186433033908,16.189129932021903,0.1,14h32m04.70s,"+38Â°18'30.0""",26.116,Bootes,γ Boo (Seginus)
382,-22.831802384097063,-421.0667992009054,-352.2468748074254,0.1,17h47m35.10s,"-40Â°07'37.0""",549.451,Scorpius,ια Sco
383,105.347773252497,73.31750098807466,-2.2907683436239,0.1,02h19m20.70s,"-02Â°58'39.0""",128.37,Cetus,ο Cet (Mira)
384,-107.37344891638821,-55.66701628886402,-107.10206051376937,0.1,13h49m37.00s,"-42Â°28'26.0""",161.551,Centaurus,μ Cen (Kabkent Prima)
385,-52.019369030453696,23.616649037439927,50.542778098516344,0.1,10h22m19.70s,"+41Â°29'58.0""",76.278,Ursa Major,μ UMa (Tania Australis)
386,-35.18198406304008,-7.202895367951177,-88.40431378448872,0.1,12h46m16.90s,"-68Â°06'29.0""",95.42,Musca,β Mus (Beta Muscae)
387,-29.402540919568196,-35.267594741301025,139.93431664047415,0.1,15h20m43.70s,"+71Â°50'02.0""",147.275,Ursa Minor,γ UMi (Pherkad)
